id,srno,application_name,customer_initiated_transactions_volume_mn,customer_initiated_transactions_value_cr,b_2_c_transactions_volume_mn,b_2_c_transactions_value_cr,b_2_b_transactions_volume_mn,b_2_b_transactions_value_cr,onus_transactions_volume_mn,onus_transactions_value_cr,total_volume_mn,total_value_cr,created_at,updated_at,published_at,created_by_id,updated_by_id,product_name,tab_name,year,month,upi_application_name,upi_volume_mn,upi_value_cr,locale
1542,11,Central Bank of India Apps,0.13,51.04,-,-,-,-,-,-,0.13,51.04,2025-01-07T04:07:45.378Z,2025-04-29T10:58:58.276Z,,,,UPI,upi-apps,2022,Apr,,,,en
1543,12,Citi Bank Apps,0.08,66.03,-,-,-,-,-,-,0.08,66.03,2025-01-07T04:07:45.378Z,2025-04-29T10:58:58.359Z,,,,UPI,upi-apps,2022,Apr,,,,en
1544,13,City Union Bank Apps,0.03,8.41,-,-,-,-,-,-,0.03,8.41,2025-01-07T04:07:45.378Z,2025-04-29T10:58:58.441Z,,,,UPI,upi-apps,2022,Apr,,,,en
1545,14,Cointab,0.07,28.50,-,-,-,-,-,-,0.07,28.50,2025-01-07T04:07:45.378Z,2025-04-29T10:58:58.523Z,,,,UPI,upi-apps,2022,Apr,,,,en
1546,15,Cred,13.05,16372.92,-,-,-,-,-,-,13.05,16372.92,2025-01-07T04:07:45.378Z,2025-04-29T10:58:58.606Z,,,,UPI,upi-apps,2022,Apr,,,,en
1547,16,DBS Digibank Apps,0.47,175.45,-,-,-,-,-,-,0.47,175.45,2025-01-07T04:07:45.378Z,2025-04-29T10:58:58.687Z,,,,UPI,upi-apps,2022,Apr,,,,en
1548,17,Deutsche Bank Apps,1.51,128.13,-,-,-,0.30,-,-,1.51,128.43,2025-01-07T04:07:45.378Z,2025-04-29T10:58:58.768Z,,,,UPI,upi-apps,2022,Apr,,,,en
1549,18,Dhanlaxmi Bank Apps,0.01,3.02,-,-,-,-,-,-,0.01,3.02,2025-01-07T04:07:45.378Z,2025-04-29T10:58:58.850Z,,,,UPI,upi-apps,2022,Apr,,,,en
1550,19,Fave,0.18,7.73,-,-,-,-,-,-,0.18,7.73,2025-01-07T04:07:45.378Z,2025-04-29T10:58:58.931Z,,,,UPI,upi-apps,2022,Apr,,,,en
1551,20,Federal Bank Apps,2.70,375.64,-,-,-,-,-,-,2.70,375.64,2025-01-07T04:07:45.378Z,2025-04-29T10:58:59.014Z,,,,UPI,upi-apps,2022,Apr,,,,en
1552,21,Fino Payments bank Apps,0.04,3.26,-,-,-,-,-,-,0.04,3.26,2025-01-07T04:07:45.378Z,2025-04-29T10:58:59.095Z,,,,UPI,upi-apps,2022,Apr,,,,en
1553,22,Finserv Markets,0.01,1.06,-,-,-,-,-,-,0.01,1.06,2025-01-07T04:07:45.378Z,2025-04-29T10:58:59.175Z,,,,UPI,upi-apps,2022,Apr,,,,en
1554,23,Finshell Pay,0.08,4.45,-,-,-,-,-,-,0.08,4.45,2025-01-07T04:07:45.378Z,2025-04-29T10:58:59.259Z,,,,UPI,upi-apps,2022,Apr,,,,en
1555,24,GoIbibo,0.01,3.31,-,-,-,-,-,-,0.01,3.31,2025-01-07T04:07:45.378Z,2025-04-29T10:58:59.340Z,,,,UPI,upi-apps,2022,Apr,,,,en
1556,25,Google Pay,1914.77,344791.35,-,-,-,-,-,-,1914.77,344791.35,2025-01-07T04:07:45.378Z,2025-04-29T10:58:59.422Z,,,,UPI,upi-apps,2022,Apr,,,,en
1557,26,Groww,0.61,376.18,-,-,-,-,-,-,0.61,376.18,2025-01-07T04:07:45.378Z,2025-04-29T10:58:59.504Z,,,,UPI,upi-apps,2022,Apr,,,,en
1558,27,HDFC Bank Apps,5.90,1759.12,-,-,-,-,-,-,5.90,1759.12,2025-01-07T04:07:45.378Z,2025-04-29T10:58:59.584Z,,,,UPI,upi-apps,2022,Apr,,,,en
1559,28,HSBC Bank Apps,0.11,59.70,-,0.02,-,-,-,-,0.11,59.72,2025-01-07T04:07:45.378Z,2025-04-29T10:58:59.665Z,,,,UPI,upi-apps,2022,Apr,,,,en
1560,29,ICICI Bank Apps,32.82,9086.72,4.83,269.45,-,-,-,-,37.65,9356.17,2025-01-07T04:07:45.378Z,2025-04-29T10:58:59.746Z,,,,UPI,upi-apps,2022,Apr,,,,en
1561,30,IDBI Bank Apps,0.03,16.78,-,-,-,-,-,-,0.03,16.78,2025-01-07T04:07:45.378Z,2025-04-29T10:58:59.825Z,,,,UPI,upi-apps,2022,Apr,,,,en
1562,31,IDFC Bank Apps,2.49,532.69,-,-,-,-,-,-,2.49,532.69,2025-01-07T04:07:45.378Z,2025-04-29T10:58:59.905Z,,,,UPI,upi-apps,2022,Apr,,,,en
1563,32,India Post Payments Bank Apps,2.80,328.53,-,-,-,-,-,-,2.80,328.53,2025-01-07T04:07:45.378Z,2025-04-29T10:58:59.986Z,,,,UPI,upi-apps,2022,Apr,,,,en
1564,33,Indian Bank Apps,0.14,49.90,-,-,-,-,-,-,0.14,49.90,2025-01-07T04:07:45.378Z,2025-04-29T10:59:00.069Z,,,,UPI,upi-apps,2022,Apr,,,,en
1565,34,Indian Overseas Bank Apps,0.01,1.52,-,-,-,-,-,-,0.01,1.52,2025-01-07T04:07:45.378Z,2025-04-29T10:59:00.151Z,,,,UPI,upi-apps,2022,Apr,,,,en
1566,35,IndusInd Bank Apps,1.02,2596.71,-,-,-,-,-,-,1.02,2596.71,2025-01-07T04:07:45.378Z,2025-04-29T10:59:00.233Z,,,,UPI,upi-apps,2022,Apr,,,,en
1567,36,Janata Sahakari Bank Apps,0.01,4.28,-,-,-,-,-,-,0.01,4.28,2025-01-07T04:07:45.378Z,2025-04-29T10:59:00.313Z,,,,UPI,upi-apps,2022,Apr,,,,en
1568,37,Jio Payments Bank Apps,2.10,126.25,-,-,-,-,-,-,2.10,126.25,2025-01-07T04:07:45.378Z,2025-04-29T10:59:00.397Z,,,,UPI,upi-apps,2022,Apr,,,,en
1569,38,Jupiter,1.47,186.13,-,-,-,-,-,-,1.47,186.13,2025-01-07T04:07:45.378Z,2025-04-29T10:59:00.479Z,,,,UPI,upi-apps,2022,Apr,,,,en
1570,39,Jupiter Edge (LivQuick PPI App),0.01,0.43,-,-,-,-,-,-,0.01,0.43,2025-01-07T04:07:45.378Z,2025-04-29T10:59:00.562Z,,,,UPI,upi-apps,2022,Apr,,,,en
1571,40,Karnataka Bank Apps,0.27,35.58,-,-,-,-,-,-,0.27,35.58,2025-01-07T04:07:45.378Z,2025-04-29T10:59:00.643Z,,,,UPI,upi-apps,2022,Apr,,,,en
1572,41,Karur Vysya Bank Apps,0.04,18.54,-,-,-,-,-,-,0.04,18.54,2025-01-07T04:07:45.378Z,2025-04-29T10:59:00.723Z,,,,UPI,upi-apps,2022,Apr,,,,en
1573,42,Kotak Mahindra Bank Apps,7.96,1684.35,-,-,-,-,-,-,7.96,1684.35,2025-01-07T04:07:45.378Z,2025-04-29T10:59:00.802Z,,,,UPI,upi-apps,2022,Apr,,,,en
1574,43,MakeMyTrip,0.09,41.18,-,-,-,-,-,-,0.09,41.18,2025-01-07T04:07:45.378Z,2025-04-29T10:59:00.883Z,,,,UPI,upi-apps,2022,Apr,,,,en
1575,44,MI Pay,0.19,28.58,-,-,-,-,-,-,0.19,28.58,2025-01-07T04:07:45.378Z,2025-04-29T10:59:00.966Z,,,,UPI,upi-apps,2022,Apr,,,,en
1576,45,Mobikwik,2.37,421.47,-,-,-,-,-,-,2.37,421.47,2025-01-07T04:07:45.378Z,2025-04-29T10:59:01.046Z,,,,UPI,upi-apps,2022,Apr,,,,en
1577,46,NSDL Payments Bank Apps,0.02,2.32,-,-,-,-,-,-,0.02,2.32,2025-01-07T04:07:45.378Z,2025-04-29T10:59:01.126Z,,,,UPI,upi-apps,2022,Apr,,,,en
1578,47,Paytm,740.76,85918.88,11.15,15.98,-,-,99.70,15714.20,851.61,101649.06,2025-01-07T04:07:45.378Z,2025-04-29T10:59:01.206Z,,,,UPI,upi-apps,2022,Apr,,,,en
1579,48,PhonePe,2616.26,486557.03,-,-,-,-,-,-,2616.26,486557.03,2025-01-07T04:07:45.378Z,2025-04-29T10:59:01.287Z,,,,UPI,upi-apps,2022,Apr,,,,en
1580,49,Punjab National Bank Apps,0.09,46.27,-,-,-,-,-,-,0.09,46.27,2025-01-07T04:07:45.378Z,2025-04-29T10:59:01.370Z,,,,UPI,upi-apps,2022,Apr,,,,en
1581,50,Punjab Sind Bank Apps,0.01,5.38,-,-,-,-,-,-,0.01,5.38,2025-01-07T04:07:45.378Z,2025-04-29T10:59:01.456Z,,,,UPI,upi-apps,2022,Apr,,,,en
1582,51,RBL Bank Apps,0.30,113.65,-,-,-,-,-,-,0.30,113.65,2025-01-07T04:07:45.378Z,2025-04-29T10:59:01.538Z,,,,UPI,upi-apps,2022,Apr,,,,en
1583,52,Samsung Pay,3.81,470.11,-,-,-,-,-,-,3.81,470.11,2025-01-07T04:07:45.378Z,2025-04-29T10:59:01.622Z,,,,UPI,upi-apps,2022,Apr,,,,en
1584,53,South Indian Bank Apps,0.13,45.03,-,-,-,-,-,-,0.13,45.03,2025-01-07T04:07:45.378Z,2025-04-29T10:59:01.702Z,,,,UPI,upi-apps,2022,Apr,,,,en
1585,54,Standard Chartered Bank Apps,0.12,68.15,-,-,-,-,-,-,0.12,68.15,2025-01-07T04:07:45.378Z,2025-04-29T10:59:01.783Z,,,,UPI,upi-apps,2022,Apr,,,,en
1586,55,State Bank of India Apps,4.03,2118.00,-,-,-,-,-,-,4.03,2118.00,2025-01-07T04:07:45.378Z,2025-04-29T10:59:01.864Z,,,,UPI,upi-apps,2022,Apr,,,,en
1587,56,SuperPay,0.02,0.40,-,-,-,-,-,-,0.02,0.40,2025-01-07T04:07:45.378Z,2025-04-29T10:59:01.945Z,,,,UPI,upi-apps,2022,Apr,,,,en
1588,57,Tamilnad Mercantile Bank Apps,0.01,0.26,-,-,-,-,-,-,0.01,0.26,2025-01-07T04:07:45.378Z,2025-04-29T10:59:02.026Z,,,,UPI,upi-apps,2022,Apr,,,,en
1589,58,TataNeu,0.35,32.82,-,-,-,-,-,-,0.35,32.82,2025-01-07T04:07:45.378Z,2025-04-29T10:59:02.106Z,,,,UPI,upi-apps,2022,Apr,,,,en
1590,59,UCO Bank Apps,0.21,41.48,-,-,-,-,-,-,0.21,41.48,2025-01-07T04:07:45.378Z,2025-04-29T10:59:02.187Z,,,,UPI,upi-apps,2022,Apr,,,,en
1591,60,Ultracash,0.03,2.22,-,-,-,-,-,-,0.03,2.22,2025-01-07T04:07:45.378Z,2025-04-29T10:59:02.267Z,,,,UPI,upi-apps,2022,Apr,,,,en
1592,61,Union Bank Apps,0.42,198.34,-,-,-,-,-,-,0.42,198.34,2025-01-07T04:07:45.378Z,2025-04-29T10:59:02.349Z,,,,UPI,upi-apps,2022,Apr,,,,en
1593,62,Utkarsh Small Finance Bank Apps,0.01,3.88,-,-,-,-,-,-,0.01,3.88,2025-01-07T04:07:45.378Z,2025-04-29T10:59:02.430Z,,,,UPI,upi-apps,2022,Apr,,,,en
1594,63,WhatsApp,2.50,242.40,-,-,-,-,-,-,2.50,242.40,2025-01-07T04:07:45.378Z,2025-04-29T10:59:02.515Z,,,,UPI,upi-apps,2022,Apr,,,,en
1595,64,Yes Bank Apps,34.07,10246.99,-,-,-,-,-,-,34.07,10246.99,2025-01-07T04:07:45.378Z,2025-04-29T10:59:02.596Z,,,,UPI,upi-apps,2022,Apr,,,,en
1596,65,YuvaPay,0.06,103.34,-,-,-,-,-,-,0.06,103.34,2025-01-07T04:07:45.378Z,2025-04-29T10:59:02.675Z,,,,UPI,upi-apps,2022,Apr,,,,en
1597,66,Others,0.02,8.26,-,-,-,-,-,-,0.02,8.26,2025-01-07T04:07:45.378Z,2025-04-29T10:59:02.756Z,,,,UPI,upi-apps,2022,Apr,,,,en
1598,1,Airtel Payments Bank Apps,6.10,486.55,-,-,-,-,-,0.07,6.11,486.62,2025-01-07T04:13:19.515Z,2025-04-29T10:59:02.839Z,,,,UPI,upi-apps,2022,May,,,,en
1599,2,Allahabad Bank Apps,0.02,6.25,-,-,-,-,-,-,0.02,6.25,2025-01-07T04:13:19.515Z,2025-04-29T10:59:02.919Z,,,,UPI,upi-apps,2022,May,,,,en
1600,3,Amazon Pay,74.83,6954.18,-,-,-,-,-,-,74.83,6954.18,2025-01-07T04:13:19.515Z,2025-04-29T10:59:03.001Z,,,,UPI,upi-apps,2022,May,,,,en
1601,4,AU Small Finance Bank Apps,0.35,107.22,-,-,-,-,-,-,0.35,107.22,2025-01-07T04:13:19.515Z,2025-04-29T10:59:03.082Z,,,,UPI,upi-apps,2022,May,,,,en
1602,5,Axis Bank Apps,7.46,1372.31,51.14,48.08,0.06,4.77,-,-,58.66,1425.16,2025-01-07T04:13:19.515Z,2025-04-29T10:59:03.162Z,,,,UPI,upi-apps,2022,May,,,,en
1603,6,Bajaj Finserv,0.79,58.53,-,-,-,-,-,-,0.79,58.53,2025-01-07T04:13:19.515Z,2025-04-29T10:59:03.244Z,,,,UPI,upi-apps,2022,May,,,,en
1604,7,Bank of Baroda Apps,0.88,406.79,-,-,-,-,-,-,0.88,406.79,2025-01-07T04:13:19.515Z,2025-04-29T10:59:03.324Z,,,,UPI,upi-apps,2022,May,,,,en
1605,8,Bank of India Apps,0.12,40.04,-,-,-,-,-,-,0.12,40.04,2025-01-07T04:13:19.515Z,2025-04-29T10:59:03.405Z,,,,UPI,upi-apps,2022,May,,,,en
1606,9,Bank of Maharashtra Apps,0.06,16.47,-,-,-,-,-,-,0.06,16.47,2025-01-07T04:13:19.515Z,2025-04-29T10:59:03.486Z,,,,UPI,upi-apps,2022,May,,,,en
1607,10,BHIM,26.57,9559.66,-,-,-,-,-,-,26.57,9559.66,2025-01-07T04:13:19.515Z,2025-04-29T10:59:03.566Z,,,,UPI,upi-apps,2022,May,,,,en
1608,11,Canara Bank Apps,0.33,114.09,-,-,-,-,-,-,0.33,114.09,2025-01-07T04:13:19.515Z,2025-04-29T10:59:03.646Z,,,,UPI,upi-apps,2022,May,,,,en
1609,12,Central Bank of India Apps,0.15,55.40,-,-,-,-,-,-,0.15,55.40,2025-01-07T04:13:19.515Z,2025-04-29T10:59:03.731Z,,,,UPI,upi-apps,2022,May,,,,en
1610,13,Citi Bank Apps,0.13,78.71,-,-,-,-,-,-,0.13,78.71,2025-01-07T04:13:19.515Z,2025-04-29T10:59:03.812Z,,,,UPI,upi-apps,2022,May,,,,en
1611,14,City Union Bank Apps,0.03,10.06,-,-,-,-,-,-,0.03,10.06,2025-01-07T04:13:19.515Z,2025-04-29T10:59:03.894Z,,,,UPI,upi-apps,2022,May,,,,en
1612,15,Cointab,0.06,23.77,-,-,-,-,-,-,0.06,23.77,2025-01-07T04:13:19.515Z,2025-04-29T10:59:03.977Z,,,,UPI,upi-apps,2022,May,,,,en
1613,16,Cred,13.89,18174.61,-,-,-,-,-,-,13.89,18174.61,2025-01-07T04:13:19.515Z,2025-04-29T10:59:04.057Z,,,,UPI,upi-apps,2022,May,,,,en
1614,17,DBS Digibank Apps,0.47,186.33,-,-,-,-,-,-,0.47,186.33,2025-01-07T04:13:19.515Z,2025-04-29T10:59:04.138Z,,,,UPI,upi-apps,2022,May,,,,en
1615,18,Deutsche Bank Apps,1.64,116.54,-,-,-,-,-,-,1.64,116.55,2025-01-07T04:13:19.515Z,2025-04-29T10:59:04.218Z,,,,UPI,upi-apps,2022,May,,,,en
1616,19,Dhanlaxmi Bank Apps,0.01,3.35,-,-,-,-,-,-,0.01,3.35,2025-01-07T04:13:19.515Z,2025-04-29T10:59:04.300Z,,,,UPI,upi-apps,2022,May,,,,en
1617,20,Fave,0.10,6.12,-,-,-,-,-,-,0.10,6.12,2025-01-07T04:13:19.515Z,2025-04-29T10:59:04.382Z,,,,UPI,upi-apps,2022,May,,,,en
1618,21,Federal Bank Apps,3.42,474.12,-,-,-,-,-,-,3.42,474.12,2025-01-07T04:13:19.515Z,2025-04-29T10:59:04.464Z,,,,UPI,upi-apps,2022,May,,,,en
1619,22,Fino Payments bank Apps,0.04,3.83,-,-,-,-,-,-,0.04,3.83,2025-01-07T04:13:19.515Z,2025-04-29T10:59:04.546Z,,,,UPI,upi-apps,2022,May,,,,en
1620,23,Finserv Markets,0.01,1.01,-,-,-,-,-,-,0.01,1.01,2025-01-07T04:13:19.516Z,2025-04-29T10:59:04.629Z,,,,UPI,upi-apps,2022,May,,,,en
1621,24,Finshell Pay,0.09,4.68,-,-,-,-,-,-,0.09,4.68,2025-01-07T04:13:19.516Z,2025-04-29T10:59:04.714Z,,,,UPI,upi-apps,2022,May,,,,en
1622,25,GoIbibo,0.01,2.41,-,-,-,-,-,-,0.01,2.41,2025-01-07T04:13:19.516Z,2025-04-29T10:59:04.795Z,,,,UPI,upi-apps,2022,May,,,,en
1623,26,Google Pay,2079.92,365989.27,-,-,-,-,-,-,2079.92,365989.27,2025-01-07T04:13:19.516Z,2025-04-29T10:59:04.877Z,,,,UPI,upi-apps,2022,May,,,,en
1624,27,Groww,0.51,335.28,-,-,-,-,-,-,0.51,335.28,2025-01-07T04:13:19.516Z,2025-04-29T10:59:04.975Z,,,,UPI,upi-apps,2022,May,,,,en
1625,28,HDFC Bank Apps,6.95,1981.11,-,-,-,-,-,-,6.95,1981.11,2025-01-07T04:13:19.516Z,2025-04-29T10:59:05.056Z,,,,UPI,upi-apps,2022,May,,,,en
1626,29,HSBC Bank Apps,0.10,63.07,-,0.10,-,-,-,-,0.10,63.17,2025-01-07T04:13:19.516Z,2025-04-29T10:59:05.138Z,,,,UPI,upi-apps,2022,May,,,,en
1627,30,ICICI Bank Apps,32.75,9221.65,2.01,120.93,2.82,1714.32,-,-,37.59,11056.90,2025-01-07T04:13:19.516Z,2025-04-29T10:59:05.222Z,,,,UPI,upi-apps,2022,May,,,,en
1628,31,IDBI Bank Apps,0.03,18.48,-,-,-,-,-,-,0.03,18.48,2025-01-07T04:13:19.516Z,2025-04-29T10:59:05.303Z,,,,UPI,upi-apps,2022,May,,,,en
1629,32,IDFC Bank Apps,4.75,626.34,-,-,-,-,-,-,4.75,626.34,2025-01-07T04:13:19.516Z,2025-04-29T10:59:05.383Z,,,,UPI,upi-apps,2022,May,,,,en
1630,33,India Post Payments Bank Apps,3.10,351.88,-,-,-,-,-,-,3.10,351.88,2025-01-07T04:13:19.516Z,2025-04-29T10:59:05.464Z,,,,UPI,upi-apps,2022,May,,,,en
1631,34,Indian Bank Apps,0.16,53.11,-,-,-,0.02,-,-,0.16,53.13,2025-01-07T04:13:19.516Z,2025-04-29T10:59:05.546Z,,,,UPI,upi-apps,2022,May,,,,en
1632,35,Indian Overseas Bank Apps,0.01,2.35,-,-,-,-,-,-,0.01,2.35,2025-01-07T04:13:19.516Z,2025-04-29T10:59:05.629Z,,,,UPI,upi-apps,2022,May,,,,en
1633,36,IndusInd Bank Apps,1.01,1711.21,-,-,-,-,-,-,1.01,1711.21,2025-01-07T04:13:19.516Z,2025-04-29T10:59:05.710Z,,,,UPI,upi-apps,2022,May,,,,en
1634,37,Janata Sahakari Bank Apps,0.01,4.79,-,-,-,-,-,-,0.01,4.79,2025-01-07T04:13:19.516Z,2025-04-29T10:59:05.792Z,,,,UPI,upi-apps,2022,May,,,,en
1635,38,Jio Payments Bank Apps,2.08,127.88,-,-,-,-,-,-,2.08,127.88,2025-01-07T04:13:19.516Z,2025-04-29T10:59:05.875Z,,,,UPI,upi-apps,2022,May,,,,en
1636,39,Jupiter,1.79,215.44,-,-,-,-,-,-,1.79,215.44,2025-01-07T04:13:19.516Z,2025-04-29T10:59:05.959Z,,,,UPI,upi-apps,2022,May,,,,en
1637,40,Jupiter Edge (LivQuick PPI),0.10,5.74,-,-,-,-,-,-,0.10,5.74,2025-01-07T04:13:19.516Z,2025-04-29T10:59:06.039Z,,,,UPI,upi-apps,2022,May,,,,en
1638,41,Karnataka Bank Apps,0.33,40.34,-,-,-,-,-,-,0.33,40.34,2025-01-07T04:13:19.516Z,2025-04-29T10:59:06.119Z,,,,UPI,upi-apps,2022,May,,,,en
1639,42,Karur Vysya Bank Apps,0.04,17.69,-,-,-,-,-,-,0.04,17.69,2025-01-07T04:13:19.516Z,2025-04-29T10:59:06.200Z,,,,UPI,upi-apps,2022,May,,,,en
1640,43,Kotak Mahindra Bank Apps,8.50,1882.81,-,-,-,2.19,-,-,8.50,1885.00,2025-01-07T04:13:19.516Z,2025-04-29T10:59:06.280Z,,,,UPI,upi-apps,2022,May,,,,en
1641,44,MakeMyTrip,0.09,43.26,-,-,-,-,-,-,0.09,43.26,2025-01-07T04:13:19.516Z,2025-04-29T10:59:06.361Z,,,,UPI,upi-apps,2022,May,,,,en
1642,45,MI Pay,0.20,33.90,-,-,-,-,-,-,0.20,33.90,2025-01-07T04:13:19.516Z,2025-04-29T10:59:06.445Z,,,,UPI,upi-apps,2022,May,,,,en
1643,46,Mobikwik,2.46,397.70,-,-,-,-,-,-,2.46,397.70,2025-01-07T04:13:19.516Z,2025-04-29T10:59:06.531Z,,,,UPI,upi-apps,2022,May,,,,en
1644,47,NSDL Payments Bank Apps,0.02,2.39,-,-,-,-,-,-,0.02,2.39,2025-01-07T04:13:19.516Z,2025-04-29T10:59:06.614Z,,,,UPI,upi-apps,2022,May,,,,en
1645,48,Paytm,780.87,91546.50,3.66,5.96,0.19,224.61,102.73,16499.70,887.45,108276.78,2025-01-07T04:13:19.516Z,2025-04-29T10:59:06.695Z,,,,UPI,upi-apps,2022,May,,,,en
1646,49,PhonePe,2778.75,511028.81,-,-,-,-,-,-,2778.75,511028.81,2025-01-07T04:13:19.516Z,2025-04-29T10:59:06.779Z,,,,UPI,upi-apps,2022,May,,,,en
1647,50,Punjab National Bank Apps,0.09,43.77,-,-,-,-,-,-,0.09,43.77,2025-01-07T04:13:19.516Z,2025-04-29T10:59:06.859Z,,,,UPI,upi-apps,2022,May,,,,en
1648,51,Punjab Sind Bank Apps,0.01,6.39,-,-,-,-,-,-,0.01,6.39,2025-01-07T04:13:19.516Z,2025-04-29T10:59:06.940Z,,,,UPI,upi-apps,2022,May,,,,en
1649,52,RBL Bank Apps,0.32,124.01,-,-,0.05,1.38,-,-,0.38,125.39,2025-01-07T04:13:19.516Z,2025-04-29T10:59:07.020Z,,,,UPI,upi-apps,2022,May,,,,en
1650,53,Samsung Pay,4.11,490.30,-,-,-,-,-,-,4.11,490.30,2025-01-07T04:13:19.516Z,2025-04-29T10:59:07.101Z,,,,UPI,upi-apps,2022,May,,,,en
1651,54,South Indian Bank Apps,0.14,49.73,-,-,-,-,-,-,0.14,49.73,2025-01-07T04:13:19.516Z,2025-04-29T10:59:07.181Z,,,,UPI,upi-apps,2022,May,,,,en
1652,55,Standard Chartered Bank Apps,0.13,70.48,-,-,-,-,-,-,0.13,70.48,2025-01-07T04:13:19.516Z,2025-04-29T10:59:07.262Z,,,,UPI,upi-apps,2022,May,,,,en
1653,56,State Bank of India Apps,4.18,2195.66,-,-,-,-,-,-,4.18,2195.66,2025-01-07T04:13:19.516Z,2025-04-29T10:59:07.345Z,,,,UPI,upi-apps,2022,May,,,,en
1654,57,Tamilnad Mercantile Bank Apps,0.01,1.13,-,-,-,-,-,-,0.01,1.13,2025-01-07T04:13:19.516Z,2025-04-29T10:59:07.426Z,,,,UPI,upi-apps,2022,May,,,,en
1655,58,TataNeu,0.22,30.33,-,-,-,-,-,-,0.22,30.33,2025-01-07T04:13:19.516Z,2025-04-29T10:59:07.506Z,,,,UPI,upi-apps,2022,May,,,,en
1656,59,UCO Bank Apps,0.22,46.39,-,-,-,-,-,-,0.22,46.39,2025-01-07T04:13:19.516Z,2025-04-29T10:59:07.584Z,,,,UPI,upi-apps,2022,May,,,,en
1657,60,Ultracash,0.05,4.40,-,-,-,-,-,-,0.05,4.40,2025-01-07T04:13:19.516Z,2025-04-29T10:59:07.666Z,,,,UPI,upi-apps,2022,May,,,,en
1658,61,Union Bank Apps,0.45,211.85,-,-,-,-,-,-,0.45,211.85,2025-01-07T04:13:19.516Z,2025-04-29T10:59:07.745Z,,,,UPI,upi-apps,2022,May,,,,en
1659,62,Utkarsh Small Finance Bank Apps,0.01,4.43,-,-,-,-,-,-,0.01,4.43,2025-01-07T04:13:19.516Z,2025-04-29T10:59:07.825Z,,,,UPI,upi-apps,2022,May,,,,en
1660,63,WhatsApp,3.48,294.98,-,-,-,-,-,-,3.48,294.98,2025-01-07T04:13:19.516Z,2025-04-29T10:59:07.905Z,,,,UPI,upi-apps,2022,May,,,,en
1661,64,Yes Bank Apps,38.19,10760.55,-,-,1.50,999.61,-,-,39.69,11760.16,2025-01-07T04:13:19.516Z,2025-04-29T10:59:07.985Z,,,,UPI,upi-apps,2022,May,,,,en
1662,65,YuvaPay,0.04,88.95,-,-,-,-,-,-,0.04,88.95,2025-01-07T04:13:19.516Z,2025-04-29T10:59:08.066Z,,,,UPI,upi-apps,2022,May,,,,en
1663,66,Others,0.03,10.70,-,-,-,-,-,-,0.03,10.70,2025-01-07T04:13:19.516Z,2025-04-29T10:59:08.149Z,,,,UPI,upi-apps,2022,May,,,,en
